Strain	Stress
0.0	0.0
0.001000000047497451	3.011692888645227e-05
0.006648685317486525	0.008562932265623775
0.01206088718026876	0.02253493666843509
0.01693186908960342	0.0357282527855779
0.02423834055662155	0.05653123997408074
0.02673834003508091	0.07171706930394298
0.03198248147964478	0.09321852630476661
0.03811903297901154	0.1155922011855262
0.04307066276669502	0.1353024169249011
0.04790911078453064	0.1575487928837427
0.05318329855799675	0.1813257173458411
0.05835479870438576	0.2056429387622143
0.06353279203176498	0.231047979509801
0.06870310753583908	0.2574435544334467
0.07393117994070053	0.2854877545378635
0.07918892055749893	0.3156911026291715
0.08433787524700165	0.346832969226238
0.08947695791721344	0.3790543975286163
0.09480439871549606	0.4155889116360535
0.1000000014901161	0.4529632213824419
