Strain	Stress
0.0	0.0
0.000202020202020202	2.337272036229319e-07
0.005454545454545455	8.834888296949106e-05
0.01070707070707071	0.0003344636283845022
0.01595959595959596	0.0007385779634486553
0.02083656564354897	0.001156949657933812
0.02949608862400055	0.002148794240794052
0.02949608862400055	0.002148794240794052
0.03949609026312828	0.003505232155015765
0.04199608787894249	0.004348302815142862
0.0457460880279541	0.004877926749502355
0.05348046496510506	0.006332178799148896
0.05664452537894249	0.006842837456520106
0.0631704032421112	0.008231545276982792
0.06984460353851318	0.00947522251926734
0.07359883189201355	0.0104797766507207
0.07824470102787018	0.01178016183201623
0.08406522870063782	0.01350513129295228
0.08897630125284195	0.0152021789358767
0.09426165372133255	0.01717450332255954
0.1000000014901161	0.01956730198660079
