Strain	Stress
0.0	0.0
0.000202020202020202	1.90551218111068e-05
0.005454545454545455	1.983082620427012e-05
0.01070707070707071	2.94917044811882e-05
0.01595959595959596	5.985399184282869e-05
0.02	9.064085315912962e-05
0.02708604000508785	0.0001446348469471559
0.03093471750617027	0.0001739609870128334
0.03670773282647133	0.0002255258150398731
0.04536725580692291	0.0003653204475995153
0.04536725580692291	0.0003653204475995153
0.05536725372076035	0.000558978586923331
0.05786725506186485	0.0006068306975066662
0.06161725521087646	0.0006786088342778385
0.06935162842273712	0.0007724360330030322
0.07370221614837646	0.0007999748922884464
0.07815168052911758	0.0008590277866460383
0.0836578905582428	0.0009424025192856789
0.08992277085781097	0.001277275732718408
0.09544633328914642	0.001601808005943894
0.1000000014901161	0.002730411477386951
