Strain	Stress
0.0	0.0
3.750000178115442e-05	0.3645120190295946
0.0004083984240423888	4.831070657405337
0.0006845432217232883	8.69479732763248
0.0009961778996512294	13.43845050218009
0.001284332945942879	18.16003597839336
0.001605118508450687	23.77057344202511
0.001922649564221501	29.66019208933063
0.002231919439509511	35.68457569467414
0.002550208708271384	42.14538657879488
0.002863205270841718	48.72205596561297
0.003173311939463019	55.42369357994188
0.003488043090328574	62.38329675623895
0.003802697639912367	69.47221968038177
0.004118682816624641	76.69732950462135
0.00443278718739748	83.96189931032316
0.004744706209748983	91.23692670828531
0.005059836432337761	98.62932895982263
0.005372939165681601	105.9986896497463
0.005684233736246824	113.3320646027476
0.00599999912083149	120.7583959313961
