Strain	Stress
0.0	0.0
0.000202020202020202	7.281815778224093e-08
0.005454545454545455	2.752526364178508e-05
0.01070707070707071	0.000104202783786758
0.01595959595959596	0.000230105378592701
0.02222148515284061	0.0003604498810233772
0.02661031857132912	0.0005170633748924122
0.03165062144398689	0.000744199697351555
0.03824672847986221	0.001071642827062391
0.04117592051625252	0.001261359324527617
0.04776660352945328	0.001593970843307295
0.05147386342287064	0.001730574954531891
0.05981519818305969	0.002210183273682561
0.06450720131397247	0.002700130214190987
0.06872999668121338	0.00303278781347235
0.07506419718265533	0.003595240272956661
0.07743952423334122	0.004010816355781045
0.08634699136018753	0.005025546481664085
0.08634699136018753	0.005025546481664085
0.09436371922492981	0.006110663652258936
0.1000000014901161	0.007320491863797155
